1972, 14100
1973, 92900
1974, 101000
1975, 60000
1976, 15000
1977, 30500
1978, 21800
1979, 28900
1980, 37000
1981, 17300
1982, 62100
1983, 44400
1984, 63800
1985, 52300
1986, 243000
1987, 60500
1988, 49800
1989, 43700
1990, 55200
1991, 23000
1992, 33400
1993, 146000
1994, 64200
1995, 138000
1996, 39000
1997, 47500
1998, 101000
1999, 73800
2000, 57100
2001, 39600
2002, 45300
2003, 46600
2004, 70400
2005, 79300
2006, 26900
2007, 88000
2008, 72100
2009, 59900
2010, 79900
2011, 22400
2012, 41600
2013, 70700
2014, 8790
2015, 49700
2016, 34900
2017, 56200
2018, 71100
2019, 273000
2020, 45300
